Rank,Word,Part of speech,Frequency,Dispersion
206,p,v,106984,0.99
207,part,v,106467,0.99
208,could,v,105955,0.99
209,great,v,105448,0.99
210,united,v,104946,0.99
211,hotel,v,104449,0.99
212,real,v,103956,0.99
213,f,v,103468,0.99
214,item,v,102985,0.99
215,international,v,102506,0.99
216,center,v,102031,0.99
217,ebay,v,101561,0.99
218,must,v,101095,0.99
219,store,v,100633,0.99
220,travel,v,100176,0.99
221,comments,v,99723,0.99
222,made,v,99274,0.99
223,development,v,98828,0.99
224,report,v,98387,0.99
225,off,v,97950,0.99
226,member,v,97516,0.99
227,details,v,97087,0.99
228,line,v,96661,0.99
229,terms,v,96239,0.99
230,before,v,95821,0.99
231,hotels,v,95406,0.99
232,did,v,94995,0.99
233,send,v,94587,0.99
234,right,v,94183,0.99
235,type,v,93782,0.99
236,because,v,93384,0.99
237,local,v,92990,0.99
238,those,v,92600,0.99
239,using,v,92212,0.99
240,results,v,91828,0.99
241,office,v,91447,0.99
242,education,v,91069,0.99
243,national,v,90694,0.99
244,car,v,90323,0.99
245,design,v,89954,0.99
246,take,v,89588,0.99
247,posted,v,89226,0.99
248,internet,v,88866,0.99
249,address,v,88509,0.99
250,community,v,88155,0.99
251,within,v,87804,0.99
252,states,v,87455,0.99
253,area,v,87110,0.99
254,want,v,86767,0.99
255,phone,v,86426,0.99
256,dvd,v,86089,0.99
257,shipping,v,85754,0.99
258,reserved,v,85421,0.99
259,subject,v,85092,0.99
260,between,v,84764,0.99
261,forum,v,84440,0.99
262,family,v,84117,0.99
263,l,v,83798,0.99
264,long,v,83480,0.99
265,based,v,83165,0.99
266,w,v,82852,0.99
267,code,v,82542,0.99
268,show,v,82234,0.99
269,o,v,81928,0.99
270,even,v,81625,0.99
271,black,v,81324,0.99
272,check,v,81025,0.99
273,special,v,80728,0.99
274,prices,v,80433,0.99
275,website,v,80141,0.99
276,index,v,79851,0.99
277,being,v,79562,0.99
278,women,v,79276,0.99
279,much,v,78992,0.99
280,sign,v,78710,0.99
281,file,v,78430,0.99
282,link,v,78152,0.99
283,open,v,77875,0.99
284,today,v,77601,0.99
285,technology,v,77329,0.99
286,south,v,77059,0.99
287,case,v,76790,0.99
288,project,v,76523,0.99
289,same,v,76259,0.99
290,pages,v,75996,0.99
291,uk,v,75735,0.99
292,version,v,75475,0.99
293,section,v,75218,0.99
294,own,v,74962,0.99
295,found,v,74708,0.99
296,sports,v,74455,0.99
297,house,v,74205,0.99
298,related,v,73956,0.99
299,security,v,73708,0.99
300,both,v,73463,0.99
301,g,v,73218,0.99
302,county,v,72976,0.99
303,american,v,72735,0.99
304,photo,v,72496,0.99
305,game,v,72258,0.99
306,members,v,72022,0.99
307,power,v,71788,0.99
308,while,v,71554,0.99
309,care,v,71323,0.99
310,network,v,71093,0.99
311,down,v,70864,0.99
312,computer,v,70637,0.99
313,systems,v,70411,0.99
314,three,v,70187,0.99
315,total,v,69964,0.99
316,place,v,69743,0.99
317,end,v,69523,0.99
318,following,v,69304,0.99
319,download,v,69087,0.99
320,h,v,68871,0.99
321,him,v,68657,0.99
322,without,v,68443,0.99
323,per,v,68232,0.99
324,access,v,68021,0.99
325,think,v,67812,0.99
326,north,v,67604,0.99
327,resources,v,67397,0.99
328,current,v,67191,0.99
329,posts,v,66987,0.99
330,big,v,66784,0.99
331,media,v,66582,0.99
332,law,v,66382,0.99
333,control,v,66183,0.99
334,water,v,65984,0.99
335,history,v,65787,0.99
336,pictures,v,65592,0.99
337,size,v,65397,0.99
338,art,v,65204,0.99
339,personal,v,65011,0.99
340,since,v,64820,0.99
341,including,v,64630,0.99
342,guide,v,64441,0.99
343,shop,v,64253,0.99
344,directory,v,64066,0.99
345,board,v,63881,0.99
346,location,v,63696,0.99
347,change,v,63512,0.99
348,white,v,63330,0.99
349,text,v,63148,0.99
350,small,v,62968,0.99
351,rating,v,62789,0.99
352,rate,v,62610,0.99
353,government,v,62433,0.99
354,children,v,62256,0.99
355,during,v,62081,0.99
356,usa,v,61907,0.99
357,return,v,61733,0.99
358,students,v,61561,0.99
359,v,v,61389,0.99
360,shopping,v,61219,0.99
361,account,v,61049,0.99
362,times,v,60881,0.99
363,sites,v,60713,0.99
364,level,v,60546,0.99
365,digital,v,60380,0.99
366,profile,v,60215,0.99
367,previous,v,60051,0.99
368,form,v,59888,0.99
369,events,v,59726,0.99
370,love,v,59564,0.99
371,old,v,59404,0.99
372,john,v,59244,0.99
373,main,v,59085,0.99
374,call,v,58927,0.99
375,hours,v,58770,0.99
376,image,v,58614,0.99
377,department,v,58458,0.99
378,title,v,58304,0.99
379,description,v,58150,0.99
380,non,v,57997,0.99
381,k,v,57845,0.99
382,y,v,57693,0.99
383,insurance,v,57543,0.99
384,another,v,57393,0.99
385,why,v,57244,0.99
386,shall,v,57095,0.99
387,property,v,56948,0.99
388,class,v,56801,0.99
389,cd,v,56655,0.99
390,still,v,56510,0.99
391,money,v,56365,0.99
392,quality,v,56221,0.99
393,every,v,56078,0.99
394,listing,v,55936,0.99
395,content,v,55794,0.99
396,country,v,55654,0.99
397,private,v,55513,0.99
398,little,v,55374,0.99
399,visit,v,55235,0.99
400,save,v,55097,0.99
401,tools,v,54960,0.99
402,low,v,54823,0.99
403,reply,v,54687,0.99
404,customer,v,54552,0.99
405,december,v,54417,0.99
406,compare,v,54283,0.99
407,movies,v,54149,0.99
408,include,v,54017,0.99
409,college,v,53885,0.99
410,value,v,53753,0.99
411,article,v,53622,0.99
412,york,v,53492,0.99
413,man,v,53363,0.99
414,card,v,53234,0.99
415,jobs,v,53106,0.99
416,provide,v,52978,0.99
417,j,v,52851,0.99
418,food,v,52724,0.99
419,source,v,52599,0.99
420,author,v,52473,0.99
421,different,v,52349,0.99
422,press,v,52225,0.99
423,u,v,52101,0.99
424,learn,v,51978,0.99
425,sale,v,51856,0.99
426,around,v,51734,0.99
427,print,v,51613,0.99
428,course,v,51493,0.99
429,job,v,51373,0.99
430,canada,v,51253,0.99
431,process,v,51134,0.99
432,teen,v,51016,0.99
433,room,v,50898,0.99
434,stock,v,50781,0.99
435,training,v,50664,0.99
436,too,v,50548,0.99
437,credit,v,50432,0.99
438,point,v,50317,0.99
439,join,v,50202,0.99
440,science,v,50088,0.99
441,men,v,49975,0.99
442,categories,v,49862,0.99
443,advanced,v,49749,0.99
444,west,v,49637,0.99
445,sales,v,49525,0.99
446,look,v,49414,0.99
447,english,v,49304,0.99
448,left,v,49194,0.99
449,team,v,49084,0.99
450,estate,v,48975,0.99
451,box,v,48867,0.99
452,conditions,v,48758,0.99
453,select,v,48651,0.99
454,windows,v,48544,0.99
455,photos,v,48437,0.99
456,gay,v,48331,0.99
457,thread,v,48225,0.99
458,week,v,48120,0.99
459,category,v,48015,0.99
460,note,v,47911,0.99
461,live,v,47807,0.99
462,large,v,47703,0.99
463,gallery,v,47600,0.99
464,table,v,47498,0.99
465,register,v,47395,0.99
466,however,v,47294,0.99
467,june,v,47192,0.99
468,october,v,47092,0.99
469,november,v,46991,0.99
470,market,v,46891,0.99
471,library,v,46792,0.99
472,really,v,46692,0.99
473,action,v,46594,0.99
474,start,v,46495,0.99
475,series,v,46398,0.99
476,model,v,46300,0.99
477,features,v,46203,0.99
478,air,v,46106,0.99
479,industry,v,46010,0.99
480,plan,v,45914,0.99
481,human,v,45819,0.99
482,provided,v,45724,0.99
483,tv,v,45629,0.99
484,yes,v,45535,0.99
485,required,v,45441,0.99
486,second,v,45347,0.99
487,hot,v,45254,0.99
488,accessories,v,45162,0.99
489,cost,v,45069,0.99
490,movie,v,44977,0.99
491,forums,v,44886,0.99
492,march,v,44794,0.99
493,la,v,44704,0.99
494,september,v,44613,0.99
495,better,v,44523,0.99
496,say,v,44433,0.99
497,questions,v,44344,0.99
498,july,v,44255,0.99
499,yahoo,v,44166,0.99
500,going,v,44078,0.99
501,medical,v,43990,0.99
502,test,v,43902,0.99
503,friend,v,43815,0.99
504,come,v,43728,0.99
505,dec,v,43641,0.99
506,server,v,43555,0.99
507,pc,v,43469,0.99
508,study,v,43384,0.99
509,application,v,43298,0.99
510,cart,v,43213,0.99
511,staff,v,43129,0.99
512,articles,v,43045,0.99
513,san,v,42961,0.99
514,feedback,v,42877,0.99
515,again,v,42794,0.99
516,play,v,42711,0.99
517,looking,v,42628,0.99
518,issues,v,42546,0.99
519,april,v,42464,0.99
520,never,v,42382,0.99
521,users,v,42301,0.99
522,complete,v,42220,0.99
523,street,v,42139,0.99
524,topic,v,42059,0.99
525,comment,v,41979,0.99
526,financial,v,41899,0.99
527,things,v,41820,0.99
528,working,v,41740,0.99
529,against,v,41661,0.99
530,standard,v,41583,0.99
531,tax,v,41504,0.99
532,person,v,41426,0.99
533,below,v,41349,0.99
534,mobile,v,41271,0.99
535,less,v,41194,0.99
536,got,v,41117,0.99
537,blog,v,41041,0.99
538,party,v,40964,0.99
539,payment,v,40888,0.99
540,equipment,v,40813,0.99
541,login,v,40737,0.99
542,student,v,40662,0.99
543,let,v,40587,0.99
544,programs,v,40513,0.99
545,offers,v,40438,0.99
546,legal,v,40364,0.99
547,above,v,40290,0.99
548,recent,v,40217,0.99
549,park,v,40144,0.99
550,stores,v,40071,0.99
551,side,v,39998,0.99
552,act,v,39926,0.99
553,problem,v,39853,0.99
554,red,v,39781,0.99
555,give,v,39710,0.99
556,memory,v,39638,0.99
557,performance,v,39567,0.99
558,social,v,39496,0.99
559,q,v,39426,0.99
560,august,v,39355,0.99
561,quote,v,39285,0.99
562,language,v,39215,0.99
563,story,v,39145,0.99
564,sell,v,39076,0.99
565,options,v,39007,0.99
566,experience,v,38938,0.99
567,rates,v,38869,0.99
568,create,v,38801,0.99
569,key,v,38733,0.99
570,body,v,38665,0.99
571,young,v,38597,0.99
572,america,v,38530,0.99
573,important,v,38462,0.99
574,field,v,38395,0.99
575,few,v,38329,0.99
576,east,v,38262,0.99
577,paper,v,38196,0.99
578,single,v,38130,0.99
579,ii,v,38064,0.99
580,age,v,37998,0.99
581,activities,v,37933,0.99
582,club,v,37868,0.99
583,example,v,37803,0.99
584,girls,v,37738,0.99
585,additional,v,37673,0.99
586,password,v,37609,0.99
587,z,v,37545,0.99
588,latest,v,37481,0.99
589,something,v,37418,0.99
590,road,v,37354,0.99
591,gift,v,37291,0.99
592,question,v,37228,0.99
593,changes,v,37165,0.99
594,night,v,37103,0.99
595,ca,v,37040,0.99
596,hard,v,36978,0.99
597,texas,v,36916,0.99
598,oct,v,36854,0.99
599,pay,v,36793,0.99
600,four,v,36732,0.99
601,poker,v,36670,0.99
602,status,v,36609,0.99
603,browse,v,36549,0.99
604,issue,v,36488,0.99
605,range,v,36428,0.99
606,building,v,36368,0.99
607,seller,v,36308,0.99
608,court,v,36248,0.99
609,february,v,36189,0.99
610,always,v,36129,0.99
611,result,v,36070,0.99
612,audio,v,36011,0.99
613,light,v,35953,0.99
614,write,v,35894,0.99
615,war,v,35836,0.99
616,nov,v,35777,0.99
617,offer,v,35719,0.99
618,blue,v,35662,0.99
619,groups,v,35604,0.99
620,al,v,35547,0.99
621,easy,v,35489,0.99
622,given,v,35432,0.99
623,files,v,35375,0.99
624,event,v,35319,0.99
625,release,v,35262,0.99
626,analysis,v,35206,0.99
627,request,v,35150,0.99
628,fax,v,35094,0.99
629,china,v,35038,0.99
630,making,v,34982,0.99
631,picture,v,34927,0.99
632,needs,v,34872,0.99
633,possible,v,34817,0.99
634,might,v,34762,0.99
635,professional,v,34707,0.99
636,yet,v,34652,0.99
637,month,v,34598,0.99
638,major,v,34544,0.99
639,star,v,34490,0.99
640,areas,v,34436,0.99
641,future,v,34382,0.99
642,space,v,34329,0.99
643,committee,v,34275,0.99
644,hand,v,34222,0.99
645,sun,v,34169,0.99
646,cards,v,34116,0.99
647,problems,v,34063,0.99
648,london,v,34011,0.99
649,washington,v,33958,0.99
650,meeting,v,33906,0.99
651,rss,v,33854,0.99
652,become,v,33802,0.99
653,interest,v,33750,0.99
654,id,v,33699,0.99
655,child,v,33647,0.99
656,keep,v,33596,0.99
657,enter,v,33545,0.99
658,california,v,33494,0.99
659,porn,v,33443,0.99
660,share,v,33392,0.99
661,similar,v,33342,0.99
662,garden,v,33291,0.99
663,schools,v,33241,0.99
664,million,v,33191,0.99
665,added,v,33141,0.99
666,reference,v,33092,0.99
667,companies,v,33042,0.99
668,listed,v,32992,0.99
669,baby,v,32943,0.99
670,learning,v,32894,0.99
671,energy,v,32845,0.99
672,run,v,32796,0.99
673,delivery,v,32747,0.99
674,net,v,32699,0.99
675,popular,v,32650,0.99
676,term,v,32602,0.99
677,film,v,32554,0.99
678,stories,v,32506,0.99
679,put,v,32458,0.99
680,computers,v,32410,0.99
681,journal,v,32363,0.99
682,reports,v,32315,0.99
683,co,v,32268,0.99
684,try,v,32221,0.99
685,welcome,v,32174,0.99
686,central,v,32127,0.99
687,images,v,32080,0.99
688,president,v,32033,0.99
689,notice,v,31987,0.99
690,god,v,31941,0.99
691,original,v,31894,0.99
692,head,v,31848,0.99
693,radio,v,31802,0.99
694,until,v,31756,0.99
695,cell,v,31711,0.99
696,color,v,31665,0.99
697,self,v,31620,0.99
698,council,v,31574,0.99
699,away,v,31529,0.99
700,includes,v,31484,0.99
701,track,v,31439,0.99
702,australia,v,31395,0.99
703,discussion,v,31350,0.99
704,archive,v,31305,0.99
705,once,v,31261,0.99
706,others,v,31217,0.99
707,entertainment,v,31173,0.99
708,agreement,v,31128,0.99
709,format,v,31085,0.99
710,least,v,31041,0.99
711,society,v,30997,0.99
712,months,v,30954,0.99
713,log,v,30910,0.99
714,safety,v,30867,0.99
715,friends,v,30824,0.99
716,sure,v,30781,0.99
717,faq,v,30738,0.99
718,trade,v,30695,0.99
719,edition,v,30652,0.99
720,cars,v,30610,0.99
721,messages,v,30567,0.99
722,marketing,v,30525,0.99
723,tell,v,30483,0.99
724,further,v,30441,0.99
725,updated,v,30399,0.99
726,association,v,30357,0.99
727,able,v,30315,0.99
728,having,v,30273,0.99
729,provides,v,30232,0.99
730,david,v,30190,0.99
731,fun,v,30149,0.99
732,already,v,30108,0.99
733,green,v,30067,0.99
734,studies,v,30026,0.99
735,close,v,29985,0.99
736,common,v,29944,0.99
737,drive,v,29904,0.99
738,specific,v,29863,0.99
739,several,v,29823,0.99
740,gold,v,29782,0.99
741,feb,v,29742,0.99
742,living,v,29702,0.99
743,sep,v,29662,0.99
744,collection,v,29622,0.99
745,called,v,29583,0.99
746,short,v,29543,0.99
747,arts,v,29503,0.99
748,lot,v,29464,0.99
749,ask,v,29425,0.99
750,display,v,29385,0.99
751,limited,v,29346,0.99
752,powered,v,29307,0.99
753,solutions,v,29268,0.99
754,means,v,29229,0.99
755,director,v,29191,0.99
756,daily,v,29152,0.99
757,beach,v,29114,0.99
758,past,v,29075,0.99
759,natural,v,29037,0.99
760,whether,v,28999,0.99
761,due,v,28961,0.99
762,et,v,28923,0.99
763,electronics,v,28885,0.99
764,five,v,28847,0.99
765,upon,v,28809,0.99
766,period,v,28772,0.99
767,planning,v,28734,0.99
768,database,v,28697,0.99
769,says,v,28659,0.99
770,official,v,28622,0.99
771,weather,v,28585,0.99
772,mar,v,28548,0.99
773,land,v,28511,0.99
774,average,v,28474,0.99
775,done,v,28437,0.99
776,technical,v,28401,0.99
777,window,v,28364,0.99
778,france,v,28328,0.99
779,pro,v,28291,0.99
780,region,v,28255,0.99
781,island,v,28219,0.99
782,record,v,28183,0.99
783,direct,v,28147,0.99
784,microsoft,v,28111,0.99
785,conference,v,28075,0.99
786,environment,v,28039,0.99
787,records,v,28004,0.99
788,st,v,27968,0.99
789,district,v,27933,0.99
790,calendar,v,27897,0.99
791,costs,v,27862,0.99
792,style,v,27827,0.99
793,url,v,27792,0.99
794,front,v,27757,0.99
795,statement,v,27722,0.99
796,update,v,27687,0.99
797,parts,v,27652,0.99
798,aug,v,27618,0.99
799,ever,v,27583,0.99
800,downloads,v,27549,0.99
801,early,v,27514,0.99
802,miles,v,27480,0.99
803,sound,v,27446,0.99
804,resource,v,27412,0.99
805,present,v,27378,0.99
806,applications,v,27344,0.99
807,either,v,27310,0.99
808,ago,v,27276,0.99
809,document,v,27242,0.99
810,word,v,27209,0.99
811,works,v,27175,0.99
812,material,v,27142,0.99
813,bill,v,27108,0.99
814,apr,v,27075,0.99
815,written,v,27042,0.99
816,talk,v,27009,0.99
817,federal,v,26976,0.99
818,hosting,v,26943,0.99
819,rules,v,26910,0.99
820,final,v,26877,0.99
821,adult,v,26844,0.99
822,tickets,v,26811,0.99
823,thing,v,26779,0.99
824,centre,v,26746,0.99
825,requirements,v,26714,0.99
826,via,v,26682,0.99
827,cheap,v,26649,0.99
828,nude,v,26617,0.99
829,kids,v,26585,0.99
830,finance,v,26553,0.99
831,true,v,26521,0.99
832,minutes,v,26489,0.99
833,else,v,26457,0.99
834,mark,v,26426,0.99
835,third,v,26394,0.99
836,rock,v,26362,0.99
837,gifts,v,26331,0.99
838,europe,v,26300,0.99
839,reading,v,26268,0.99
840,topics,v,26237,0.99
841,bad,v,26206,0.99
842,individual,v,26175,0.99
843,tips,v,26144,0.99
844,plus,v,26113,0.99
845,auto,v,26082,0.99
846,cover,v,26051,0.99
847,usually,v,26020,0.99
848,edit,v,25989,0.99
849,together,v,25959,0.99
850,videos,v,25928,0.99
851,percent,v,25898,0.99
852,fast,v,25867,0.99
853,function,v,25837,0.99
854,fact,v,25807,0.99
855,unit,v,25777,0.99
856,getting,v,25747,0.99
857,global,v,25717,0.99
858,tech,v,25687,0.99
859,meet,v,25657,0.99
860,far,v,25627,0.99
861,economic,v,25597,0.99
862,en,v,25567,0.99
863,player,v,25538,0.99
864,projects,v,25508,0.99
865,lyrics,v,25479,0.99
866,often,v,25449,0.99
867,subscribe,v,25420,0.99
868,submit,v,25391,0.99
869,germany,v,25361,0.99
870,amount,v,25332,0.99
871,watch,v,25303,0.99
872,included,v,25274,0.99
873,feel,v,25245,0.99
874,though,v,25216,0.99
875,bank,v,25187,0.99
876,risk,v,25159,0.99
877,thanks,v,25130,0.99
878,everything,v,25101,0.99
879,deals,v,25073,0.99
880,various,v,25044,0.99
881,words,v,25016,0.99
882,linux,v,24988,0.99
883,jul,v,24959,0.99
884,production,v,24931,0.99
885,commercial,v,24903,0.99
886,james,v,24875,0.99
887,weight,v,24847,0.99
888,town,v,24819,0.99
889,heart,v,24791,0.99
890,advertising,v,24763,0.99
891,received,v,24735,0.99
892,choose,v,24707,0.99
893,treatment,v,24680,0.99
894,newsletter,v,24652,0.99
895,archives,v,24625,0.99
896,points,v,24597,0.99
897,knowledge,v,24570,0.99
898,magazine,v,24542,0.99
899,error,v,24515,0.99
900,camera,v,24488,0.99
901,jun,v,24461,0.99
902,girl,v,24434,0.99
903,currently,v,24406,0.99
904,construction,v,24379,0.99
905,toys,v,24353,0.99
906,registered,v,24326,0.99
907,clear,v,24299,0.99
908,golf,v,24272,0.99
909,receive,v,24245,0.99
910,domain,v,24219,0.99
911,methods,v,24192,0.99
912,chapter,v,24166,0.99
913,makes,v,24139,0.99
914,protection,v,24113,0.99
915,policies,v,24086,0.99
916,loan,v,24060,0.99
917,wide,v,24034,0.99
918,beauty,v,24008,0.99
919,manager,v,23982,0.99
920,india,v,23956,0.99
921,position,v,23930,0.99
922,taken,v,23904,0.99
923,sort,v,23878,0.99
924,listings,v,23852,0.99
925,models,v,23826,0.99
926,michael,v,23800,0.99
927,known,v,23775,0.99
928,half,v,23749,0.99
929,cases,v,23723,0.99
930,step,v,23698,0.99
931,engineering,v,23672,0.99
932,florida,v,23647,0.99
933,simple,v,23622,0.99
934,quick,v,23596,0.99
935,none,v,23571,0.99
936,wireless,v,23546,0.99
937,license,v,23521,0.99
938,paul,v,23496,0.99
939,friday,v,23471,0.99
940,lake,v,23446,0.99
941,whole,v,23421,0.99
942,annual,v,23396,0.99
943,published,v,23371,0.99
944,later,v,23346,0.99
945,basic,v,23322,0.99
946,sony,v,23297,0.99
947,shows,v,23273,0.99
948,corporate,v,23248,0.99
949,google,v,23223,0.99
950,church,v,23199,0.99
951,method,v,23175,0.99
952,purchase,v,23150,0.99
953,customers,v,23126,0.99
954,active,v,23102,0.99
955,response,v,23078,0.99
956,practice,v,23053,0.99
957,hardware,v,23029,0.99
958,figure,v,23005,0.99
959,materials,v,22981,0.99
960,fire,v,22957,0.99
961,holiday,v,22934,0.99
962,chat,v,22910,0.99
963,enough,v,22886,0.99
964,designed,v,22862,0.99
965,along,v,22838,0.99
966,among,v,22815,0.99
967,death,v,22791,0.99
968,writing,v,22768,0.99
969,speed,v,22744,0.99
970,html,v,22721,0.99
971,countries,v,22697,0.99
972,loss,v,22674,0.99
973,face,v,22651,0.99
974,brand,v,22627,0.99
975,discount,v,22604,0.99
976,higher,v,22581,0.99
977,effects,v,22558,0.99
978,created,v,22535,0.99
979,remember,v,22512,0.99
980,standards,v,22489,0.99
981,oil,v,22466,0.99
982,bit,v,22443,0.99
983,yellow,v,22420,0.99
984,political,v,22397,0.99
985,increase,v,22375,0.99
986,advertise,v,22352,0.99
987,kingdom,v,22329,0.99
988,base,v,22307,0.99
989,near,v,22284,0.99
990,environmental,v,22262,0.99
991,thought,v,22239,0.99
992,stuff,v,22217,0.99
993,french,v,22194,0.99
994,storage,v,22172,0.99
995,oh,v,22150,0.99
996,japan,v,22128,0.99
997,doing,v,22105,0.99
998,loans,v,22083,0.99
999,shoes,v,22061,0.99
1000,entry,v,22039,0.99
1001,stay,v,22017,0.99
1002,nature,v,21995,0.99
1003,orders,v,21973,0.99
1004,availability,v,21951,0.99
1005,africa,v,21929,0.99
1006,summary,v,21908,0.99
1007,turn,v,21886,0.99
1008,mean,v,21864,0.99
1009,growth,v,21843,0.99
1010,notes,v,21821,0.99
1011,agency,v,21799,0.99
1012,king,v,21778,0.99
1013,monday,v,21756,0.99
1014,european,v,21735,0.99
1015,activity,v,21713,0.99
1016,copy,v,21692,0.99
1017,although,v,21671,0.99
1018,drug,v,21649,0.99
1019,pics,v,21628,0.99
1020,western,v,21607,0.99
1021,income,v,21586,0.99
1022,force,v,21565,0.99
1023,cash,v,21544,0.99
1024,employment,v,21523,0.99
1025,overall,v,21502,0.99
1026,bay,v,21481,0.99
1027,river,v,21460,0.99
1028,commission,v,21439,0.99
1029,ad,v,21418,0.99
1030,package,v,21397,0.99
1031,contents,v,21376,0.99
1032,seen,v,21356,0.99
